title,movieId,genres,tmdbId,content
'71 (2014),117867,Action|Drama|Thriller|War,252178,Action Drama Thriller War
'Hellboy': The Seeds of Creation (2004),97757,Action|Adventure|Comedy|Documentary|Fantasy,72867,Action Adventure Comedy Documentary Fantasy
'Round Midnight (1986),26564,Drama|Musical,14670,Drama Musical
'Til There Was You (1997),779,Drama|Romance,32872,Drama Romance
'Tis the Season for Love (2015),149380,Romance,362886,Romance
"'burbs, The (1989)",2072,Comedy,11974,Comedy
'night Mother (1986),3112,Drama,34760,Drama
(500) Days of Summer (2009),69757,Comedy|Drama|Romance,19913,Comedy Drama Romance
*batteries not included (1987),8169,Children|Comedy|Fantasy|Sci-Fi,11548,Children Comedy Fantasy Sci-Fi
...All the Marbles (1981),5706,Comedy|Drama,30709,Comedy Drama
...And Justice for All (1979),3420,Drama|Thriller,17443,Drama Thriller
00 Schneider - Jagd auf Nihil Baxter (1994),157110,Comedy|Crime,1652,Comedy Crime
1-900 (06) (1994),889,Drama|Romance,101230,Drama Romance
10 (1979),6658,Comedy|Romance,9051,Comedy Romance
10 Cent Pistol (2015),139717,Crime|Thriller,346592,Crime Thriller
10 Cloverfield Lane (2016),152077,Thriller,333371,Thriller
10 Items or Less (2006),49284,Comedy|Drama|Romance,2357,Comedy Drama Romance
10 Things I Hate About You (1999),2572,Comedy|Romance,4951,Comedy Romance
10 Years (2011),98230,Comedy|Drama|Romance,58547,Comedy Drama Romance
"10,000 BC (2008)",58293,Adventure|Romance|Thriller,7840,Adventure Romance Thriller
100 Girls (2000),7541,Comedy|Romance,10035,Comedy Romance
100 Streets (2016),168350,Drama,334532,Drama
101 Dalmatians (1996),1367,Adventure|Children|Comedy,11674,Adventure Children Comedy
101 Dalmatians (One Hundred and One Dalmatians) (1961),2085,Adventure|Animation|Children,12230,Adventure Animation Children
101 Dalmatians II: Patch's London Adventure (2003),121099,Animation|Children,13654,Animation Children
101 Reykjavik (101 Reykjavík) (2000),6344,Comedy|Drama|Romance,10989,Comedy Drama Romance
102 Dalmatians (2000),3991,Children|Comedy,10481,Children Comedy
10th & Wolf (2006),55391,Crime|Drama|Thriller,13197,Crime Drama Thriller
"10th Kingdom, The (2000)",27251,Adventure|Comedy|Fantasy,110147,Adventure Comedy Fantasy
"10th Victim, The (La decima vittima) (1965)",4434,Action|Comedy|Sci-Fi|Thriller,65632,Action Comedy Sci-Fi Thriller
"11'09""01 - September 11 (2002)",7789,Drama,1926,Drama
11:14 (2003),27674,Comedy|Crime|Drama|Mystery|Thriller,9282,Comedy Crime Drama Mystery Thriller
"11th Hour, The (2007)",66320,Documentary,4832,Documentary
12 Angry Men (1957),1203,Drama,389,Drama
12 Angry Men (1997),77846,Crime|Drama,12219,Crime Drama
12 Chairs (1971),141844,Adventure|Comedy,31648,Adventure Comedy
12 Chairs (1976),141816,Adventure|Comedy,27934,Adventure Comedy
12 Rounds (2009),70361,Action|Thriller,17134,Action Thriller
12 Years a Slave (2013),105844,Drama,76203,Drama
127 Hours (2010),81562,Adventure|Drama|Thriller,44115,Adventure Drama Thriller
13 Assassins (Jûsan-nin no shikaku) (2010),86142,Action,58857,Action
13 Ghosts (1960),4792,Horror,29756,Horror
13 Going on 30 (2004),7444,Comedy|Fantasy|Romance,10096,Comedy Fantasy Romance
13 Hours (2016),138210,Drama,300671,Drama
13 Sins (2014),110286,Horror|Thriller,155084,Horror Thriller
13 Tzameti (2005),48872,Film-Noir|Thriller,6077,Film-Noir Thriller
13th (2016),164917,Documentary,407806,Documentary
"13th Warrior, The (1999)",2826,Action|Adventure|Fantasy,1911,Action Adventure Fantasy
1408 (2007),53953,Drama|Horror|Thriller,3021,Drama Horror Thriller
1492: Conquest of Paradise (1992),8905,Adventure|Drama,1492,Adventure Drama
15 Minutes (2001),4167,Thriller,2749,Thriller
16 Blocks (2006),43936,Crime|Thriller,2207,Crime Thriller
17 Again (2009),68135,Comedy|Drama,16996,Comedy Drama
1776 (1972),5472,Children|Drama|Musical,14902,Children Drama Musical
18 Again! (1988),4462,Comedy|Fantasy,38965,Comedy Fantasy
187 (One Eight Seven) (1997),1609,Drama|Thriller,6072,Drama Thriller
1900 (Novecento) (1976),26359,Drama|War,3870,Drama War
1941 (1979),7104,Comedy|War,11519,Comedy War
1969 (1988),4463,Drama|War,47817,Drama War
1984 (Nineteen Eighty-Four) (1984),2117,Drama|Sci-Fi,9314,Drama Sci-Fi
2 Days in New York (2012),95744,Comedy,84165,Comedy
2 Days in Paris (2007),54796,Comedy|Drama|Romance,1845,Comedy Drama Romance
2 Days in the Valley (1996),999,Crime|Film-Noir,9401,Crime Film-Noir
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",6383,Action|Crime|Thriller,584,Action Crime Thriller
2 Guns (2013),103883,Action|Comedy|Crime,136400,Action Comedy Crime
20 Dates (1998),2492,Comedy|Romance,111794,Comedy Romance
20 Feet from Stardom (Twenty Feet from Stardom) (2013),103107,Documentary,159014,Documentary
20 Million Miles to Earth (1957),5468,Sci-Fi,15096,Sci-Fi
"20,000 Days on Earth (2014)",114066,Documentary|Drama|Musical,246400,Documentary Drama Musical
"20,000 Leagues Under the Sea (1916)",62383,Action|Adventure|Sci-Fi,30266,Action Adventure Sci-Fi
"20,000 Leagues Under the Sea (1954)",1019,Adventure|Drama|Sci-Fi,173,Adventure Drama Sci-Fi
200 Cigarettes (1999),2504,Comedy|Drama,15256,Comedy Drama
2001 Maniacs (2005),51498,Comedy|Horror,10845,Comedy Horror
2001: A Space Odyssey (1968),924,Adventure|Drama|Sci-Fi,62,Adventure Drama Sci-Fi
2010: The Year We Make Contact (1984),2311,Sci-Fi,4437,Sci-Fi
2012 (2009),72378,Action|Drama|Sci-Fi|Thriller,14161,Action Drama Sci-Fi Thriller
2046 (2004),27266,Drama|Fantasy|Romance|Sci-Fi,844,Drama Fantasy Romance Sci-Fi
2048: Nowhere to Run (2017),179053,Sci-Fi|Thriller,475759,Sci-Fi Thriller
